file,sentence_id,start,end,transcript
audio_samples/038010_EIT-2A.mp3,1,81.58,82.44,Le llamaré mañana.
audio_samples/038010_EIT-2A.mp3,2,107.74,110.34,"A veces, toman su perro para un parque."
audio_samples/038010_EIT-2A.mp3,3,132.99,156.72,Vamos a jugar a la voleybal.
audio_samples/038010_EIT-2A.mp3,4,193.06,199.56,¿Qué dice usted que va a hacer hoy?
audio_samples/038010_EIT-2A.mp3,5,201.96,208.64,Dudo que sepa manejar muy bien
audio_samples/038010_EIT-2A.mp3,6,211.32,218.48,Las calles de esta ciudad son muy anchas
audio_samples/038010_EIT-2A.mp3,7,222.76,230.04,Puede que llueva mañana todo el día
audio_samples/038010_EIT-2A.mp3,8,233.74,243.08,Las casas son muy bonitas pero caras
audio_samples/038010_EIT-2A.mp3,9,245.74,247.92,Me gustan las películas que acaban bien
audio_samples/038010_EIT-2A.mp3,10,257.44,259.96,El chico con el que yo salgo es español
audio_samples/038010_EIT-2A.mp3,11,269.24,272.0,Después de cenar voy a dormir tranquilo
audio_samples/038010_EIT-2A.mp3,12,274.7,277.48,Después de cenar me fui a dormir tranquilo
audio_samples/038010_EIT-2A.mp3,13,286.58,289.48,Quiero una casa en la que vivan animales
audio_samples/038010_EIT-2A.mp3,14,308.26,318.48,Ella solo bebe cerveza y no come nada
audio_samples/038010_EIT-2A.mp3,15,322.0,324.48,Me gustaría que el precio de las casas bajara
audio_samples/038010_EIT-2A.mp3,16,335.86,338.48,Cruza a la derecha y después sigue todo recto
audio_samples/038010_EIT-2A.mp3,17,341.86,346.48,Cruza a la derecha y después sigue recto
audio_samples/038010_EIT-2A.mp3,18,350.16,362.42,Ella ha terminado de pintar su apartamento
audio_samples/038010_EIT-2A.mp3,19,376.64,378.5,El niño al que se le murió el gato está triste
audio_samples/038010_EIT-2A.mp3,20,410.26,412.66,El gato que era negro
audio_samples/038010_EIT-2A.mp3,21,420.0,422.96,"Antes de poder salir, él tiene que limpiar su cuarto"
audio_samples/038010_EIT-2A.mp3,22,435.8,438.6,La cantidad de personas que fuman ha disminuido
audio_samples/038010_EIT-2A.mp3,23,466.86,469.58,El ladrón que atrapó la policía era famoso
audio_samples/038010_EIT-2A.mp3,24,482.26,484.52,Le pedí a un amigo que me ayudara con la tarea
audio_samples/038010_EIT-2A.mp3,25,497.76,500.48,El examen no fue tan difícil como me habían dicho
audio_samples/038010_EIT-2A.mp3,26,524.12,549.44,El hombre que me ayudó a la tarea
